id;estado;descripcion
1;payment one-to-one Cuban Peso Peso Convertible;portals Naira
2;Directives deposit;tan solutions Bedfordshire
3;Kuwaiti Dinar;Cambridgeshire New York concept
4;Bedfordshire Pennsylvania Developer;Car Fantastic Rubber Ball
5;niches;orange client-server
6;Stand-alone Avon;e-commerce Stravenue Home Loan Account
7;Digitized experiences;Internal
8;Wooden Group target;Michigan
9;PNG SMS;European Unit of Account 17(E.U.A.-17) Practical Steel Bike portals
10;Bacon indigo protocol;Concrete matrices
