id;placa;modelo;color;year;nasientos;estadogeneralautomovil;numeromotor;numerochasisgrabado
1;Principal override Assurance;Romania;white;96954;53234;recontextualize;contextually-based Practical Metal Gloves;International
2;Villages;payment Bike;pink;93872;10182;withdrawal;auxiliary;Automotive
3;Director Tasty Metal Salad;Lebanese Pound Ergonomic Handmade Plastic Ball;white;12007;64618;Operations Central;Fields;knowledge user
4;Configuration cross-media;Tasty Metal Car Garden Rufiyaa;orange;72287;78364;Direct;Versatile;Guinea Franc engineer
5;Nevada payment optical;Bulgarian Lev solid state;black;13904;36578;user-centric;Savings Account Gibraltar Pound;Ergonomic
6;Liaison;online reboot Kids;purple;55654;78626;Bedfordshire Health Licensed;Administrator Fantastic Wooden Mouse THX;Gorgeous
7;Denar;Games yellow Netherlands Antilles;grey;61395;15675;Multi-lateral Japan Mobility;reboot;Lodge generating
8;Money Market Account yellow;Senegal;gold;59489;96328;Facilitator Director Supervisor;bypass;Operations index
9;neural Frozen Maryland;New Leu;maroon;87620;20429;Handcrafted Steel Mouse Square optimal;Stravenue Persevering;Investment Account
10;sky blue;encryption;orchid;57305;71332;Chief;azure;Auto Loan Account installation Bedfordshire
